State |City|MSA|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall||
Alabama |Birmingham|13820|530|18|3|9|5|5||
Alaska|Anchorage|11260|||||||| 
Alberta, Canada|Calgary|||||||||
Alberta, Canada|Edmonton|||||||||
Arizona |Greater Phoenix|38060|140|34|5.8|9|4|6||
British Columbia, Canda|Vancouver|||||||||
California|Cal Poly Pomona-Fairplex-Pomona|11244||||||||
California|Concord-Freemont-Oakland-Richmond-San Francisco|36084|5|79|13.7|21|10|12||
California|Fresno|23420|1049|9|1.8|5|4|4||
California|Irvine|11244||||||||
California|Long Beach-Huntington Beach|11244||||||||
California|Los Angeles|11244|1|102|18.3|21|11|12||
California|Sacramento|40900|303|25|4.4|11|6|7||
California|San Diego-Chula Vista|41740|45|48|7.7|19|7|10||
California|San Jose|41940||||||||
Chihuahua, Mexico||||||||||
Colorado|Denver|19740|120|36|6.5|13|7|8||
Connecticut|Bridgeport-New Haven|71950|392|22|4.1|13|8|9||
Connecticut|Danbury|72850|387|22|3.5|13|5|7||
Connecticut|Greater Stamford|71950|81|41|7.2|23|12|13||
Connecticut|Greater Hartford|73450|485|19|3.6|9|5|6||
Connecticut|Waterbury|78700|339|24|4.7|14|8|10||
Delaware|Fairfax|72400||||||||
Delaware|Wilmington|48864|450|20|3.9|10|6|7||
Florida|Manatee-Sarasota|35840|627|15|3|7|5|5||
Florida|Orlando|36740|139|34|6.4|11|6|7||
Florida|South Florida (Miami-Dade, Broward, Palm Beach)|33124|14|64|11.8|13|7|9||
Florida|Tampa-St. Petersburg|45300|228|28|4.6|13|5|7||
Georgia|Metro Atlanta|12060|10|70|12.3|17|9|10||
Georgia|Stonecrest|12060||||||||
||||||||||
Hidalgo, Mexico||||||||||
Idaho||||||||||
Illinois|Chicago|16974|22|57|10.3|17|9|10||
Indiana|Gary-Hammond|23844|694|14|2.7|9|6|5||
Indiana|Indianapolis-Fishers|26900|539|17|3|8|4|5||
Iowa|Greater Des Moines|19780|1063|8|1.6|5|3|4||
Kansas|Kansas City|28140||||||||
Kentucky|Louisville|31140|499|19|3.4|10|6|6||
Louisiana||||||||||
Maine|Brunswick|||||||||
Maine|Scarborough|||||||||
Manitoba, Canada|Winnipeg|||||||||
Maryland|Baltimore|12580|252|27|4.9|11|6|7||
Maryland|Charles County|47894||||||||
Maryland|Montgomery County|43524||||||||
Maryland|Prince George&rsquo;s County| ||||||||
Massachusetts|Boston|14460|19|60|10.6|23|12|14||
Massachusetts|Everett|78100|169|31|5.3|21|7|11||
Massachusetts|Fall River|39300|1244|6|1.3|3|2|3||
Massachusetts|Foxborough|71654||||||||
Massachusetts|Gardner|74500||||||||
Massachusetts|Holyoke|78100||||||||
Massachusetts|Lawrence-Haverhill-Andover-Methuen-North Andover|74204||||||||
Massachusetts|Lee|||||||||
Massachusetts|Leominster|74500||||||||
Massachusetts|Lowell-Billerica-Tewksbury|74804|301|25|4.2|14|6|9||
Massachusetts|Lynn|||||||||
Massachusetts|Marlborough|73104||||||||
Massachusetts|New Bedford|75550|1101|8|1.7|5|4|4||
Massachusetts|Northborough|79600||||||||
||||||||||
Massachusetts|Peabody|76524||||||||
Massachusetts|Pittsfield|76600||||||||
Massachusetts|Quincy|71654||||||||
Massachusetts|Somerville|73654||||||||
Massachusetts|Springfield|78100|679|14|2.7|8|6|5||
Massachusetts|Taunton|78254||||||||
Massachusetts|Union Point-Abington-Rockland-Weymouth|71654||||||||
Massachusetts|Waltham|71654||||||||
Massachusetts|Westborough|79600||||||||
Massachusetts|Worcester|79600|712|14|2.6|8|5|5||
Michigan|Detroit-Windsor (Canada and Michigan)||127|35|6|10|5|6||
Michigan|Grand Rapids|34340|830|12|2|7|3|4||
Minnesota|Minneapolis-Saint Paul|33460|85|41|6.5|14|5|7||
Mississippi||||||||||
Missouri|Kansas City|28140|516|18|3.2|7|3|4||
Missouri|St. Louis|41180|444|20|3.4|8|3|4||
Missouri||||||||||
Nebraska|Omaha|36540|864|11|2.1|6|3|4||
Nevada|Las Vegas|29820|314|24|4.8|11|7|8||
New Hampshire|Londonderry|75404||||||||
New Hampshire|Manchester|74950|935|10|2|6|4|4||
New Jersey|Atlantic City|12100|594|16|4.1|10|9|10||
New Jersey|Bayonne|||||||||
New Jersey|Camden County|15804||||||||
New Jersey|Jersey City|35614||||||||
New Jersey|New Brunswick|||||||||
New Jersey|Newark|35084||||||||
New Jersey|Trenton|45940||||||||
New Jersey|West Windsor-Mercer County|||||||||
New Mexico|El Paso-Borderplex Alliance|||||||||
New Mexico|Santa Teresa-San Jeronimo|||||||||
||||||||||
New York|Albany|10580|721|14|2.3|7|4|4||
New York|Buffalo-Rochester|40380|582|16|3.1|9|6|6||
New York|Mount Vernon|35620||||||||
New York|New Rochelle|35620||||||||
New York|New York City-Long Island-Hudson Valley|35620|3|91|17.4|19|11|13||
New York|Syracuse-Utica|45060|1038|9|1.8|5|4|4||
New York|Westchester|35614||||||||
North Carolina|Charlotte-York County|16740|358|23|3.8|13|6|7||
North Carolina|Greensboro|24660|1314|4|0.8|2|2|2||
North Carolina|Hickory|25860||||||||
North Carolina|Raleigh|39580|529|18|3.1|10|4|6||
Nova Scotia, Canada||||||||||
Ohio|Cincinnati-Dayton|19380|262|26|4.6|13|6|7||
Ohio|Cleveland|17460|517|18|3|8|3|4||
Ohio|Columbus|18140|365|23|3.8|10|5|6||
Ohio|Toledo-Maumee|45780|933|12|2|5|4|4||
Oklahoma|Oklahoma City|36420|684|14|2.7|7|5|5||
Oklahoma|Tulsa|46140|957|10|1.8|5|4|3||
Ontario, Canada|Detroit-Windsor|||||||||
Ontario, Canada|Hamilton|||||||||
Ontario, Canada|Ottawa-Gatineau|||||||||
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|||||||||
Ontario, Canada|Simcoe County|||||||||
Ontario, Canada|Toronto|||||||||
Oregon|Portland|38900|40|50|8.1|21|9|11||
Pennsylvania|Delaware County|34620||||||||
Pennsylvania|Harrisburg|25420|742|13|2.2|8|4|4||
Pennsylvania|Lehigh Valley|10900||||||||
Pennsylvania|Philadelphia|37964|108|37|6.8|12|7|8||
Pennsylvania|Pittsburgh|38300|160|32|5.4|19|8|10||
Pennsylvania|Northeast Pennsylvania|||||||||
||||||||||
Puerto Rico||||||||||
Quebec, Canada|Greater Montreal|||||||||
Mexico|Quer&eacute;taro|||||||||
Rhode Island|East Providence|77200||||||||
Rhode Island|North Kingstown|77200||||||||
Rhode Island|Pawtucket-Central Falls|77200||||||||
